attendance,away_team,away_team_errors,away_team_hits,away_team_runs,boxscore_url,date,field_type,game_duration,game_type,home_team,home_team_errors,home_team_hits,home_team_runs,start_time,venue
21719.0,Philadelphia Phillies,0,5,4,https://www.baseball-reference.com/boxes/MIA/MIA201605070.shtml,"Saturday, May 7, 2016",,: 3:20,"Night Game, on grass",Miami Marlins,1,10,3,Start Time: 7:10 p.m. Local, Marlins Park
31559.0,Seattle Mariners,0,11,3,https://www.baseball-reference.com/boxes/HOU/HOU201605070.shtml,"Saturday, May 7, 2016",,: 3:27,"Night Game, on grass",Houston Astros,1,8,2,Start Time: 6:11 p.m. Local, Minute Maid Park
35551.0,Texas Rangers,0,10,10,https://www.baseball-reference.com/boxes/DET/DET201605070.shtml,"Saturday, May 7, 2016",,: 3:14,"Day Game, on grass",Detroit Tigers,0,11,5,Start Time: 1:10 p.m. Local, Comerica Park
17302.0,Kansas City Royals,0,12,7,https://www.baseball-reference.com/boxes/CLE/CLE201605070.shtml,"Saturday, May 7, 2016",,: 2:41,"Day Game, on grass",Cleveland Indians,0,6,0,Start Time: 4:10 p.m. Local, Progressive Field
27567.0,Milwaukee Brewers,2,15,13,https://www.baseball-reference.com/boxes/CIN/CIN201605070.shtml,"Saturday, May 7, 2016",,: 3:38,"Night Game, on grass",Cincinnati Reds,3,11,7,Start Time: 7:10 p.m. Local, Great American Ball Park
40471.0,Washington Nationals,0,6,5,https://www.baseball-reference.com/boxes/CHN/CHN201605070.shtml,"Saturday, May 7, 2016",,: 3:32,"Day Game, on grass",Chicago Cubs,1,11,8,Start Time: 3:05 p.m. Local, Wrigley Field
28049.0,Minnesota Twins,0,4,2,https://www.baseball-reference.com/boxes/CHA/CHA201605070.shtml,"Saturday, May 7, 2016",,: 2:58,"Night Game, on grass",Chicago White Sox,0,13,7,Start Time: 6:10 p.m. Local, U.S. Cellular Field
29862.0,Oakland Athletics,1,9,2,https://www.baseball-reference.com/boxes/BAL/BAL201605072.shtml,"Saturday, May 7, 2016",,: 2:32,"Night Game, on grass",Baltimore Orioles,0,8,5,Start Time: 7:07 p.m. Local, Oriole Park at Camden Yards
15230.0,Tampa Bay Rays,1,4,2,https://www.baseball-reference.com/boxes/SEA/SEA201605090.shtml,"Monday, May 9, 2016",,: 3:05,"Night Game, on grass",Seattle Mariners,0,9,5,Start Time: 7:10 p.m. Local, Safeco Field
14604.0,Oakland Athletics,1,11,6,https://www.baseball-reference.com/boxes/TBA/TBA201605130.shtml,"Friday, May 13, 2016",,: 3:07,"Night Game, on turf",Tampa Bay Rays,0,5,3,Start Time: 7:10 p.m. Local, Tropicana Field
34579.0,Los Angeles Angels of Anaheim,0,13,7,https://www.baseball-reference.com/boxes/SEA/SEA201605130.shtml,"Friday, May 13, 2016",,: 3:41,"Night Game, on grass",Seattle Mariners,0,10,6,Start Time: 7:10 p.m. Local, Safeco Field
22230.0,Cincinnati Reds,0,4,2,https://www.baseball-reference.com/boxes/PHI/PHI201605130.shtml,"Friday, May 13, 2016",,: 2:37,"Night Game, on grass",Philadelphia Phillies,1,7,3,Start Time: 7:09 p.m. Local, Citizens Bank Park
34264.0,Chicago White Sox,0,9,7,https://www.baseball-reference.com/boxes/NYA/NYA201605130.shtml,"Friday, May 13, 2016",,: 2:45,"Night Game, on grass",New York Yankees,0,6,1,Start Time: 7:08 p.m. Local, Yankee Stadium III
