attendance,away_team,away_team_errors,away_team_hits,away_team_runs,date,game_duration,game_type,home_team,home_team_errors,home_team_hits,home_team_runs,start_time,venue,week_day,year,fiedl_type
13554.0,Miami Marlins,0,13,4,May 25, 322,Night Game,Tampa Bay Rays,2,9,3, 7:10pm, Tropicana Field,Wednesday,2016,on turf
45565.0,Chicago Cubs,1,10,9,May 25, 338,Day Game,St. Louis Cardinals,1,13,8, 12:47pm, Busch Stadium III,Wednesday,2016,on grass
41363.0,San Diego Padres,1,9,3,May 25, 322,Day Game,San Francisco Giants,0,10,4, 12:45pm, AT&T Park,Wednesday,2016,on grass
36538.0,Houston Astros,2,14,8,May 29, 457,Day Game,Los Angeles Angels of Anaheim,1,12,6, 12:37pm, Angel Stadium of Anaheim,Sunday,2016,on grass
21764.0,Arizona Diamondbacks,1,7,3,June 2, 236,Day Game,Houston Astros,0,5,0, 1:11pm, Minute Maid Park,Thursday,2016,on grass
28213.0,New York Yankees,1,8,5,June 2, 256,Night Game,Detroit Tigers,0,11,4, 7:40pm, Comerica Park,Thursday,2016,on grass
28080.0,Cincinnati Reds,0,14,11,June 2, 244,Night Game,Colorado Rockies,1,5,4, 6:40pm, Coors Field,Thursday,2016,on grass
11131.0,Kansas City Royals,3,12,4,June 2, 254,Night Game,Cleveland Indians,1,11,5, 7:10pm, Progressive Field,Thursday,2016,on grass
37422.0,Los Angeles Dodgers,1,3,2,June 2, 225,Day Game,Chicago Cubs,0,10,7, 1:20pm, Wrigley Field,Thursday,2016,on grass
21534.0,Boston Red Sox,0,12,7,June 2, 257,Night Game,Baltimore Orioles,1,11,12, 7:07pm, Oriole Park at Camden Yards,Thursday,2016,on grass
15983.0,San Francisco Giants,1,8,6,June 2, 249,Day Game,Atlanta Braves,1,4,0, 12:10pm, Turner Field,Thursday,2016,on grass
39512.0,New York Yankees,2,7,0,June 1, 257,Night Game,Toronto Blue Jays,1,12,7, 7:07pm, Rogers Centre,Wednesday,2016,on turf
20557.0,Seattle Mariners,2,14,6,June 1, 320,Night Game,San Diego Padres,1,19,14, 7:11pm, Petco Park,Wednesday,2016,on grass
19052.0,Washington Nationals,0,12,7,June 1, 245,Night Game,Philadelphia Phillies,1,6,2, 7:08pm, Citizens Bank Park,Wednesday,2016,on grass
11345.0,Minnesota Twins,0,6,1,June 1, 233,Day Game,Oakland Athletics,0,11,5, 12:37pm, Oakland-Alameda County Coliseum,Wednesday,2016,on grass
34160.0,Chicago White Sox,0,7,2,June 1, 441,Day Game,New York Mets,0,7,1, 1:10pm, Citi Field,Wednesday,2016,on grass
45453.0,San Francisco Giants,0,6,4,June 4, 239,Night Game,St. Louis Cardinals,1,12,7, 6:15pm, Busch Stadium III,Saturday,2016,on grass
41448.0,Baltimore Orioles,0,11,6,June 9, 312,Night Game,Toronto Blue Jays,0,8,5, 7:08pm, Rogers Centre,Thursday,2016,on turf
30145.0,Houston Astros,0,7,3,June 9, 251,Day Game,Texas Rangers,1,8,5, 1:07pm, Globe Life Park in Arlington,Thursday,2016,on grass
19901.0,Cleveland Indians,0,7,5,June 9, 339,Night Game,Seattle Mariners,1,13,3, 7:10pm, Safeco Field,Thursday,2016,on grass
34971.0,Los Angeles Angels of Anaheim,0,8,3,June 9, 258,Night Game,New York Yankees,1,11,6, 7:10pm, Yankee Stadium III,Thursday,2016,on grass
18792.0,Miami Marlins,0,18,10,June 9, 304,Night Game,Minnesota Twins,2,7,3, 7:10pm, Target Field,Thursday,2016,on grass
22980.0,New York Mets,1,13,5,June 9, 304,Night Game,Milwaukee Brewers,0,10,2, 7:10pm, Miller Park,Thursday,2016,on grass
24678.0,Pittsburgh Pirates,0,7,5,June 9, 253,Day Game,Colorado Rockies,3,14,11, 3:10pm, Coors Field,Thursday,2016,on grass
24516.0,St. Louis Cardinals,0,8,3,June 9, 256,Night Game,Cincinnati Reds,0,4,2, 7:10pm, Great American Ball Park,Thursday,2016,on grass
20014.0,Washington Nationals,0,5,1,June 9, 221,Night Game,Chicago White Sox,0,5,3, 7:11pm, U.S. Cellular Field,Thursday,2016,on grass
37696.0,Houston Astros,1,7,3,June 8, 249,Night Game,Texas Rangers,1,10,1, 7:07pm, Globe Life Park in Arlington,Wednesday,2016,on grass
41635.0,Boston Red Sox,0,5,1,June 8, 245,Night Game,San Francisco Giants,1,3,2, 7:15pm, AT&T Park,Wednesday,2016,on grass
15337.0,Cleveland Indians,0,3,0,June 8, 241,Night Game,Seattle Mariners,0,7,5, 7:10pm, Safeco Field,Wednesday,2016,on grass
31625.0,Chicago Cubs,4,16,13,June 12, 342,Day Game,Atlanta Braves,1,7,2, 1:36pm, Turner Field,Sunday,2016,on grass
33568.0,Detroit Tigers,0,13,10,June 16, 315,Night Game,Kansas City Royals,0,10,4, 7:14pm, Kauffman Stadium,Thursday,2016,on grass
36757.0,Baltimore Orioles,0,11,5,June 16, 253,Night Game,Boston Red Sox,0,4,1, 7:11pm, Fenway Park,Thursday,2016,on grass
21885.0,Cincinnati Reds,1,8,2,June 16, 256,Day Game,Atlanta Braves,0,9,7, 12:10pm, Turner Field,Thursday,2016,on grass
42000.0,Chicago Cubs,0,11,4,June 15, 417,Day Game,Washington Nationals,0,9,5, 4:06pm, Nationals Park,Wednesday,2016,on grass
12239.0,Seattle Mariners,2,8,2,June 15, 438,Night Game,Tampa Bay Rays,0,8,3, 7:10pm, Tropicana Field,Wednesday,2016,on turf
42008.0,Houston Astros,0,9,4,June 15, 256,Night Game,St. Louis Cardinals,0,8,1, 6:17pm, Busch Stadium III,Wednesday,2016,on grass
41811.0,Milwaukee Brewers,4,8,1,June 15, 256,Day Game,San Francisco Giants,0,16,10, 12:46pm, AT&T Park,Wednesday,2016,on grass
20037.0,Miami Marlins,0,9,3,June 15, 258,Day Game,San Diego Padres,0,13,6, 12:40pm, Petco Park,Wednesday,2016,on grass
24753.0,Toronto Blue Jays,0,9,7,June 15, 251,Night Game,Philadelphia Phillies,0,6,2, 7:08pm, Citizens Bank Park,Wednesday,2016,on grass
10115.0,Texas Rangers,2,10,7,June 15, 308,Night Game,Oakland Athletics,0,7,5, 7:07pm, Oakland-Alameda County Coliseum,Wednesday,2016,on grass
32117.0,Pittsburgh Pirates,0,5,2,June 15, 306,Night Game,New York Mets,1,19,11, 7:11pm, Citi Field,Wednesday,2016,on grass
33546.0,Cleveland Indians,3,5,4,June 15, 247,Night Game,Kansas City Royals,2,10,9, 7:15pm, Kauffman Stadium,Wednesday,2016,on grass
25078.0,Los Angeles Angels of Anaheim,0,13,7,June 18, 305,Day Game,Oakland Athletics,2,5,1, 1:08pm, Oakland-Alameda County Coliseum,Saturday,2016,on grass
40104.0,Colorado Rockies,1,9,8,June 22, 325,Day Game,New York Yankees,1,10,9, 1:09pm, Yankee Stadium III,Wednesday,2016,on grass
25032.0,Philadelphia Phillies,1,9,5,June 22, 248,Night Game,Minnesota Twins,1,13,6, 8:20pm, Target Field,Wednesday,2016,on grass
22642.0,Atlanta Braves,0,6,0,June 22, 227,Day Game,Miami Marlins,0,9,3, 12:13pm, Marlins Park,Wednesday,2016,on grass
43776.0,Washington Nationals,1,11,3,June 22, 335,Night Game,Los Angeles Dodgers,0,9,4, 7:10pm, Dodger Stadium,Wednesday,2016,on grass
29649.0,Los Angeles Angels of Anaheim,0,10,2,June 22, 309,Day Game,Houston Astros,0,8,3, 1:11pm, Minute Maid Park,Wednesday,2016,on grass
31497.0,Seattle Mariners,0,3,1,June 22, 239,Night Game,Detroit Tigers,0,12,5, 7:10pm, Comerica Park,Wednesday,2016,on grass
21216.0,Tampa Bay Rays,0,3,1,June 22, 230,Night Game,Cleveland Indians,1,9,6, 7:10pm, Progressive Field,Wednesday,2016,on grass
41058.0,St. Louis Cardinals,0,9,7,June 22, 302,Day Game,Chicago Cubs,1,3,2, 1:22pm, Wrigley Field,Wednesday,2016,on grass
37413.0,Chicago White Sox,0,10,8,June 22, 338,Night Game,Boston Red Sox,1,13,6, 7:12pm, Fenway Park,Wednesday,2016,on grass
23785.0,San Diego Padres,1,5,2,June 22, 243,Night Game,Baltimore Orioles,0,11,7, 7:08pm, Oriole Park at Camden Yards,Wednesday,2016,on grass
41838.0,Arizona Diamondbacks,0,3,4,June 21, 242,Night Game,Toronto Blue Jays,0,9,2, 7:07pm, Rogers Centre,Tuesday,2016,on turf
32291.0,Cincinnati Reds,0,11,8,June 21, 229,Night Game,Texas Rangers,0,6,2, 7:10pm, Globe Life Park in Arlington,Tuesday,2016,on grass
33040.0,Tampa Bay Rays,1,14,6,June 25, 315,Night Game,Baltimore Orioles,0,14,8, 7:07pm, Oriole Park at Camden Yards,Saturday,2016,on grass
44840.0,Kansas City Royals,0,14,3,June 29, 428,Night Game,St. Louis Cardinals,3,10,2, 7:15pm, Busch Stadium III,Wednesday,2016,on grass
25477.0,Pittsburgh Pirates,0,11,8,June 29, 247,Night Game,Seattle Mariners,3,6,1, 7:10pm, Safeco Field,Wednesday,2016,on grass
25221.0,Baltimore Orioles,0,12,12,June 29, 307,Day Game,San Diego Padres,1,8,6, 12:41pm, Petco Park,Wednesday,2016,on grass
32810.0,San Francisco Giants,2,8,1,June 29, 244,Night Game,Oakland Athletics,0,7,7, 7:07pm, Oakland-Alameda County Coliseum,Wednesday,2016,on grass
39875.0,Texas Rangers,1,9,7,June 29, 319,Night Game,New York Yankees,2,10,9, 7:09pm, Yankee Stadium III,Wednesday,2016,on grass
26566.0,Los Angeles Dodgers,1,2,0,June 29, 230,Night Game,Milwaukee Brewers,0,12,7, 7:10pm, Miller Park,Wednesday,2016,on grass
31760.0,Miami Marlins,0,14,3,June 29, 313,Day Game,Detroit Tigers,0,15,10, 1:10pm, Comerica Park,Wednesday,2016,on grass
38412.0,Toronto Blue Jays,0,11,5,June 29, 317,Day Game,Colorado Rockies,1,9,3, 1:11pm, Coors Field,Wednesday,2016,on grass
37188.0,Chicago Cubs,0,12,9,June 29, 314,Day Game,Cincinnati Reds,0,9,2, 12:37pm, Great American Ball Park,Wednesday,2016,on grass
18571.0,Minnesota Twins,1,11,6,June 29, 303,Night Game,Chicago White Sox,1,13,9, 7:10pm, U.S. Cellular Field,Wednesday,2016,on grass
16600.0,Cleveland Indians,0,8,3,June 29, 251,Night Game,Atlanta Braves,1,7,0, 7:11pm, Turner Field,Wednesday,2016,on grass
